"","life_cycle","subspecies","country"
"A_Ichthyosaura_alpestris_SMA_22898_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22899_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22900_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22901_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22902_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22903_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22904_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22905_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22906_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22907_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22908_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22909_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22910_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22911_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22912_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22913_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22914_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22916_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22917_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22918_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22919_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22920_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22921_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22922_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22923_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22926_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22927_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22928_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22931_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22932_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22933_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22934_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22935_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22965-1_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22966_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22967_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22968_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22969_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22970_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22971_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22972_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22973_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7903_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7908_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7910_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7913_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7920_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7924_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7925_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7932_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7935_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7937_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7941_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7942_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7943_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7956_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7958_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7962_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7964_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7966_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7967_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7978_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7979_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7987_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7990_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7991-1_cranium","paedomorphic","apuana","Italy"
