"","life_cycle","subspecies","country"
"A_Ichthyosaura_alpestris_SMA_22893_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22894_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22895_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22896_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22897_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22898_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22899_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22900_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22901_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22902_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22903_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22904_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22905_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22906_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22907_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22908_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22909_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22910_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22911_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22912_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22913_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22914_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22916_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22917_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22918_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22919_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22920_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22921_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22922_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22923_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22926_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22927_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22928_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22931_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22932_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22933_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22934_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22935_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22965-1_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22966_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22967_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22968_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22969_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22970_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22971_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22972_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22973_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7903_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7908_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7910_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7913_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7920_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7924_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7925_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7932_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7935_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7937_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7941_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7942_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7943_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7956_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7958_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7962_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7964_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7966_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7967_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7978_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7979_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7987_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7990_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_7991-1_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_NMB_6277_mandible","metamorphic","alpestris","Bosnia"
