Collection;ID;sub-species;life-cycle;date;country;region;locality;Measured;cranium ;mandible ;mandible coronoid presence;Uh;Ch;Cb-1;Bb;Hb-1;Cb-2;Hb-2;;;;;;;;;;;;;
MNHN;1992-2933;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2934;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2935;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2936;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2926;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago della Selva;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MVZ;178858;apuana;triphasic;14 Apr 1982;Italy;;Mt. Pond above Tarsagno, Parma Prov;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;178857;apuana;triphasic;14 Apr 1982;Italy;;Mt. Pond above Tarsagno, Parma Prov;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;178852;apuana;triphasic;14 Apr 1982;Italy;;Mt. Pond above Tarsagno, Parma Prov;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;178853;apuana;triphasic;14 Apr 1982;Italy;;Mt. Pond above Tarsagno, Parma Prov;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;178854;apuana;triphasic;14 Apr 1982;Italy;;Mt. Pond above Tarsagno, Parma Prov;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;178855;apuana;triphasic;14 Apr 1982;Italy;;Mt. Pond above Tarsagno, Parma Prov;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;178856;apuana;triphasic;14 Apr 1982;Italy;;Mt. Pond above Tarsagno, Parma Prov;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;178851;apuana;triphasic;14 Apr 1982;Italy;;Mt. Pond above Tarsagno, Parma Prov;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;178859;apuana;triphasic;14 Apr 1982;Italy;;Mt. Pond above Tarsagno, Parma Prov;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;176570;apuana;triphasic;14 Apr 1982;Italy;;Mt. Pond above Tarsagno, Parma Prov;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;176571;apuana;triphasic;14 Apr 1982;Italy;;Mt. Pond above Tarsagno, Parma Prov;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;191954;apuana;triphasic;1818-06-20 to 1999-02-04;Italy;;Becciano, 10 km N Pisa;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;191955;apuana;triphasic;1818-06-20 to 1999-02-04;Italy;;Becciano, 10 km N Pisa;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;191956;apuana;triphasic;1818-06-20 to 1999-02-04;Italy;;Becciano, 10 km N Pisa;only SVL;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MVZ;191957;apuana;triphasic;1818-06-20 to 1999-02-04;Italy;;Becciano, 10 km N Pisa;only SVL;yes;no;no;no;yes;yes;yes;yes;no;yes;;;;;;;;;;;;;
NMBE;1016799;alpestris;paedomorphic;5/10/76 0:00;Switzerland;Bern;Rüschelzmoos, Ins;yes;yes;yes;no;yes;yes;yes;no;yes;yes;no;;;;;;;;;;;;;
NMBE;1016900;alpestris;paedomorphic;11/22/83 0:00;Switzerland;Appenzell-Ausserrhoden;Wald (AR);yes;yes;yes;no;yes;yes;yes;no;no;yes;no;;;;;;;;;;;;;
NMBE;1047562;alpestris;paedomorphic;4/30/97 0:00;Switzerland;Luzern;Hergiswald, Kriens;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;;;;;;;;;;;;;
NMBE;1053490;alpestris;paedomorphic;6/21/03 0:00;Switzerland;Fribourg;Auried, Kleinbösingen;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
NHMW;8773-1;alpestris;paedomorphic;1898. 28.a.;Switzerland;Europa / Schweiz;Lago Antilone,  Alpi Lepontime, Schweiz;yes;yes;yes;yes;yes;yes;no;no;no;no;no;;;;;;;;;;;;;
MHNG;915-005;alpestris;triphasic;17.9.1945;Switzerland;Fribourg;Lac Noir;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MHNG;915-001;alpestris;triphasic;16.4.1942;Switzerland;Berne;La Ferrière;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MHNG;741-028a;alpestris;triphasic;4.191;Switzerland;Genève;Pinchat;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MHNG;877-087n;alpestris;triphasic;7.1946;Switzerland;Grisons;Sta.Maria, Val Muster;yes;yes;yes;no;no;yes;yes;yes;yes;no;yes;;;;;;;;;;;;;
MHNG;1119-054;alpestris;triphasic;6.8.1966;Switzerland;Vaud;La Croue, Arzier;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
NHMW;8866-1;alpestris;paedomorphic;26.9.1894.;Bosnia;;Jezero b.Trnovo,  Bosnien, Jugoslawien;yes;yes;yes;yes;yes;yes;no;no;no;no;no;;;;;;;;;;;;;
NHMW;8866-2;alpestris;paedomorphic;26.9.1894.;Bosnia;;Jezero b.Trnovo,  Bosnien, Jugoslawien;yes;no;yes;yes;yes;yes;no;no;no;no;no;;;;;;;;;;;;;
NHMW;8866-3;alpestris;paedomorphic;26.9.1894.;Bosnia;;Jezero b.Trnovo,  Bosnien, Jugoslawien;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
NHMW;8866-4;alpestris;paedomorphic;26.9.1894.;Bosnia;;Jezero b.Trnovo,  Bosnien, Jugoslawien;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
NHMW;8866-5;alpestris;paedomorphic;26.9.1894.;Bosnia;;Jezero b.Trnovo,  Bosnien, Jugoslawien;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
NHMW;8866-6;alpestris;paedomorphic;26.9.1894.;Bosnia;;Jezero b.Trnovo,  Bosnien, Jugoslawien;yes;yes;yes;yes;yes;no;yes;no;no;no;no;;;;;;;;;;;;;
NHMW;8866-7;alpestris;paedomorphic;26.9.1894.;Bosnia;;Jezero b.Trnovo,  Bosnien, Jugoslawien;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;;;;;;;;;;;;;
NHMW;8866-8;alpestris;paedomorphic;26.9.1894.;Bosnia;;Jezero b.Trnovo,  Bosnien, Jugoslawien;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
NHMW;8866-9;alpestris;paedomorphic;26.9.1894.;Bosnia;;Jezero b.Trnovo,  Bosnien, Jugoslawien;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;no;;;;;;;;;;;;;
NMB;6275;alpestris;triphasic;31.07.1959;Bosnia;;BIH > Südl. Sarajevo < Seen der Trescavica;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
NMB;6276;alpestris;triphasic;31.07.1959;Bosnia;;BIH > Südl. Sarajevo < Seen der Trescavica;no;yes;no;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
NMB;6277;alpestris;triphasic;31.07.1959;Bosnia;;BIH > Südl. Sarajevo < Seen der Trescavica;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
NMB;6278;alpestris;triphasic;31.07.1959;Bosnia;;BIH > Südl. Sarajevo < Seen der Trescavica;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
NMB;6279;alpestris;triphasic;31.07.1959;Bosnia;;BIH > Südl. Sarajevo < Seen der Trescavica;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
NMB;6280;alpestris;triphasic;31.07.1959;Bosnia;;BIH > Südl. Sarajevo < Seen der Trescavica;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MHNG;2409-084;apuana;triphasic;25.4.1988;Italy;;Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MHNG;2409-085;apuana;triphasic;25.4.1988;Italy;;Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MHNG;2409-086;apuana;triphasic;25.4.1988;Italy;;Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MHNG;2409-087;apuana;triphasic;25.4.1988;Italy;;Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MHNG;2409-088;apuana;triphasic;25.4.1988;Italy;;Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MHNG;2409-089;apuana;triphasic;25.4.1988;Italy;;Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
MHNG;2409-090;apuana;triphasic;25.4.1988;Italy;;Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
IRSNB;15370;apuana;triphasic;02/08/1976;Italy;;lac de ninfa, apennines, italy;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;14020;apuana;triphasic;11/9/1949;Italy;;Laghetto dei Bagni, monte Cimone, Modena, Italia;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;14019;apuana;triphasic;11/9/1949;Italy;;Laghetto dei Bagni, monte Cimone, Modena, Italia;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;20526;apuana;triphasic;11/9/1949;Italy;;Laghetto dei Bagni, monte Cimone, Modena, Italia;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;14018;apuana;triphasic;11/9/1949;Italy;;Laghetto dei Bagni, monte Cimone, Modena, Italia;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
