Collection;ID;sub-species;life-cycle;date;country;region;locality;Measured;cranium ;mandible ;mandible coronoid presence;Uh;Ch;Cb-1;Bb;Hb-1;Cb-2;Hb-2;;;;;;;;;;;;;
La Specola;7988;apuana;undergoing metamorphosis;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7965;apuana;undergoing metamorphosis;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7962;apuana;triphasic;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7978;apuana;paedomorphic;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;7947;apuana;undergoing metamorphosis;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7964;apuana;triphasic;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7949;apuana;undergoing metamorphosis;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7956;apuana;paedomorphic;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;yes;yes;yes;no;no;no;no;no;;;;;;;;;;;;;
La Specola;7984;apuana;undergoing metamorphosis;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7987;apuana;triphasic;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7960;apuana;undergoing metamorphosis;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
