"id","sub.species","life_cycle","country","locality","svl","r_interlimb_l","l_interlimb_l","body_h","head_l","head_w","head_h","r_lower_jaw_l","r_humerus","r_radius","r_metacarpus","r_toe_fore","r_femur","r_tibia","r_metatarsus","r_toe_hind","l_lower_jaw_l","l_humerus","l_radius","l_metacarpus","l_toe_fore","l_femur","l_tibia","l_metatarsus","l_toe_hind","tail"
"22966","apuana","paedomorphic","Italy","Chiusdino. Siena. Toscana",1.57898284270279,1.21245396104028,1.21245396104028,0.895974732359065,0.974511692737328,0.885361220031512,0.695481676490197,0.879669205632054,0.687528961214634,0.505149978319906,0.225309281725863,0.519827993775719,0.720159303405957,0.549003262025788,0.252853030979893,0.409933123331295,0.862131379313037,0.694605198933569,0.528916700277655,0.247973266361807,0.591064607026499,0.658011396657112,0.445604203273598,0.276461804173244,0.426511261364575,1.48215869541128
"22968","apuana","paedomorphic","Italy","Chiusdino. Siena. Toscana",1.66171805769466,1.28307497473547,1.28307497473547,0.937016107464814,1.05499586152914,0.966141732739033,0.771587480881255,0.940516484932567,0.770115294787102,0.64738297011462,0.346352974450639,0.456366033129043,0.808210972924222,0.557507201905658,0.296665190261531,0.250420002308894,0.920123326290724,0.750508394851346,0.56702636615906,0.328379603438738,0.513217600067939,0.773054693364263,0.597695185925512,0.292256071356476,0.495544337546448,1.51838231554534
"22973","apuana","paedomorphic","Italy","Chiusdino. Siena. Toscana",1.57065967002153,1.15685190107001,1.15685190107001,0.890421018800914,0.991226075692495,0.869818207979328,0.708420900134713,0.86391737695786,0.716003343634799,0.539076098792777,0.136720567156407,0.363611979892144,0.711807229041191,0.531478917042255,0.222716471147583,0.434568904034199,0.854306041801081,0.7481880270062,0.568201724066995,0.269512944217916,0.472756449317212,0.672097857935718,0.496929648073215,0.252853030979893,0.419955748489758,1.42618582524451
"22969","apuana","paedomorphic","Italy","Chiusdino. Siena. Toscana",1.63958608667343,1.24772783290972,1.24772783290972,0.93801909747621,1.05269394192497,0.932473764677153,0.761175813155731,0.90848501887865,0.724275869600789,0.534026106056135,0.173186268412274,0.426511261364575,0.76715586608218,0.561101383649056,0.255272505103306,0.3654879848909,0.8819549713396,0.770115294787102,0.502427119984433,0.193124598354462,0.507855871695831,0.745074791582057,0.662757831681574,0.217483944213906,0.472756449317212,1.55846856252379
"22967","apuana","paedomorphic","Italy","Chiusdino. Siena. Toscana",1.66190729276602,1.28780172993023,1.28780172993023,0.920123326290724,1.03140846425162,0.947433721887051,0.790285164033242,0.987666264926275,0.770852011642144,0.690196080028514,0.328379603438738,0.535294120042771,0.795184589682424,0.617000341120899,0.328379603438738,0.491361693834273,0.943494515906103,0.768638101247614,0.526339277389844,0.340444114840118,0.555094448578319,0.790988475088816,0.553883026643874,0.269512944217916,0.496929648073215,1.53769319436739
"22972","apuana","paedomorphic","Italy","Chiusdino. Siena. Toscana",1.58263143948964,1.19173039336286,1.19173039336286,0.851258348719075,0.996949248495381,0.831229693867063,0.725094521081469,0.86391737695786,0.663700925389648,0.568201724066995,0.296665190261531,0.406540180433955,0.719331286983727,0.517195897949974,0.294466226161593,0.52244423350632,0.833147111912785,0.69284691927723,0.471291711058939,0.184691430817599,0.444044795918076,0.710117365111816,0.531478917042255,0.24551266781415,0.525044807036845,1.45178643552429
"22970","apuana","paedomorphic","Italy","Chiusdino. Siena. Toscana",1.62190296089123,1.26007138798507,1.26007138798507,0.948412965778601,1.03782475058834,0.930949031167523,0.757396028793024,0.944975908412048,0.716003343634799,0.558708570533166,0.292256071356476,0.518513939877887,0.799340549453582,0.600972895686748,0.230448921378274,0.468347330412157,0.887617300335736,0.753583058892907,0.511883360978874,0.285557309007774,0.518513939877887,0.753583058892907,0.599883072073688,0.328379603438738,0.591064607026499,1.51969676715985
"22965-1","apuana","paedomorphic","Italy","Chiusdino. Siena. Toscana",1.54567814979203,1.17955179116519,1.17955179116519,0.844477175745681,0.964730921053629,0.851869600729766,0.666517980554881,0.838849090737255,0.633468455579587,0.552668216112193,0.250420002308894,0.3654879848909,0.638489256954637,0.534026106056135,0.217483944213906,0.380211241711606,0.788168371141168,0.637489729512511,0.510545010206612,0.230448921378274,0.33645973384853,0.619093330626743,0.534026106056135,0.332438459915605,0.389166084364532,1.50351831272407
"7991-1","apuana","paedomorphic","Italy","Lago Baccio. Modena",1.54057971650445,1.18012587516405,1.18012587516405,0.769377326076139,0.968482948553935,0.833147111912785,0.65417654187796,0.803457115648414,0.624282095835668,0.434568904034199,0.220108088040055,0.292256071356476,0.672097857935718,0.534026106056135,0.326335860928751,0.344392273685111,0.806179973983887,0.627365856592733,0.450249108319361,0.2405492482826,0.342422680822206,0.667452952889954,0.442479769064449,0.326335860928751,0.450249108319361,1.46893780566546
"7910","apuana","metamorphic","Italy","Lago Baccio. Modena",1.62024018984583,1.24723654950676,1.24723654950676,0.826074802700826,0.968482948553935,0.89209460269048,0.643452676486187,0.949390006644913,0.729974285699556,0.57978359661681,0.324282455297693,0.453318340047038,0.736396502276642,0.557507201905658,0.380211241711606,0.514547752660286,0.934498451243568,0.74350976472843,0.565847818673518,0.324282455297693,0.468347330412157,0.737192642704737,0.568201724066995,0.33645973384853,0.558708570533166,1.50974001557038
"7903","apuana","paedomorphic","Italy","Lago Baccio. Modena",1.64305768375145,1.26670196688409,1.27829620809127,0.819543935541869,1.02857125269254,0.895974732359065,0.674861140737812,0.940018155007663,0.752816431188271,0.65991620006985,0.354108439147401,0.45484486000851,0.662757831681574,0.565847818673518,0.356025857193123,0.625312450961674,0.872738827472669,0.755874855672491,0.582063362911709,0.332438459915605,0.517195897949974,0.716003343634799,0.565847818673518,0.382017042574868,0.546542663478131,1.56726169235387
"7920","apuana","metamorphic","Italy","Lago Baccio. Modena",1.60400993241223,1.24029958200271,1.24029958200271,0.750508394851346,0.974511692737328,0.895422546039408,0.690196080028514,0.913283901760418,0.707570176097936,0.565847818673518,0.267171728403014,0.397940008672038,0.683947130751512,0.551449997972875,0.298853076409707,0.459392487759231,0.887617300335736,0.697229342759718,0.531478917042255,0.28330122870355,0.40823996531185,0.724275869600789,0.540329474790874,0.296665190261531,0.450249108319361,1.51811894714315
"7913","apuana","paedomorphic","Italy","Lago Baccio. Modena",1.64236558084497,1.22193559982801,1.22634208716363,0.853698211776174,1,0.929418925714293,0.691081492122968,0.913283901760418,0.752048447819439,0.621176281775035,0.344392273685111,0.444044795918076,0.720159303405957,0.588831725594207,0.403120521175818,0.477121254719662,0.887054378050957,0.720985744153739,0.527629900871339,0.361727836017593,0.432969290874406,0.734799829588847,0.559906625036113,0.342422680822206,0.550228353055094,1.54752857645978
"7908","apuana","metamorphic","Italy","Lago Baccio. Modena",1.63477945814595,1.26458172923808,1.26458172923808,0.83695673705955,0.970346876230093,0.912753303671323,0.64640372622307,0.924279286061882,0.76715586608218,0.644438589467838,0.397940008672038,0.413299764081252,0.773054693364263,0.627365856592733,0.371067862271736,0.506505032404872,0.930949031167523,0.789580712164425,0.622214022966295,0.287801729930226,0.389166084364532,0.725094521081469,0.562292864456475,0.298853076409707,0.553883026643874,1.51308436046514
"7932","apuana","metamorphic","Italy","Lago Baccio. Modena",1.58950279626376,1.22608411597582,1.22608411597582,0.693726948923647,0.919078092376074,0.876794976200701,0.539076098792777,0.86391737695786,0.697229342759718,0.578639209968072,0.269512944217916,0.444044795918076,0.675778341674085,0.551449997972875,0.348304863048161,0.450249108319361,0.844477175745681,0.724275869600789,0.528916700277655,0.225309281725863,0.361727836017593,0.672097857935718,0.521138083704036,0.328379603438738,0.434568904034199,1.50718097726024
"7967","apuana","paedomorphic","Italy","Lago Baccio. Modena",1.57333584006607,1.21748394421391,1.21748394421391,0.815577748324267,0.953276336667304,0.873901597864461,0.661812685537261,0.838219221907626,0.657055852857104,0.57978359661681,0.447158031342219,0.428134794028789,0.643452676486187,0.507855871695831,0.285557309007774,0.342422680822206,0.808885867359812,0.681241237375587,0.539076098792777,0.173186268412274,0.260071387985075,0.690196080028514,0.491361693834273,0.271841606536499,0.394451680826216,1.43822580760453
