id;sub-species;life_cycle;country;locality;svl;r_interlimb_l;l_interlimb_l;body_h;head_l;head_w;head_h;r_lower_jaw_l;r_humerus;r_radius;r_metacarpus;r_toe_fore;r_femur;r_tibia;r_metatarsus;r_toe_hind;l_lower_jaw_l;l_humerus;l_radius;l_metacarpus;l_toe_fore;l_femur;l_tibia;l_metatarsus;l_toe_hind;tail
22901;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;38.9;19.8;19.8;7.9;9.79;6.99;4.77;6.59;5.33;3.79;1.64;2.22;5.29;3.66;2.11;2.47;7.39;5.56;3.53;1.68;2.23;5.49;3.32;1.98;2.49;30.4
22902;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;38.82;16.88;16.88;7.52;9.62;7.36;4.69;7.22;5.8;3.73;1.78;2.48;5.26;3.38;1.85;2.62;7;5.37;3.54;1.69;2.84;5.23;3.44;1.93;2.52;31.43
22910;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;43.08;17.94;17.94;8.98;10.99;8.14;5.22;8.17;6.44;3.94;1.99;2.91;6.23;3.95;2.25;3.78;8.25;6.2;3.93;2.5;2.99;6.24;3.53;2.13;2.96;31.39
22913;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;43.07;18.57;18.8;7.97;10.69;8.2;5.2;7.68;5.77;3.31;1.69;2.75;5.79;3.78;2.18;3.7;7.85;5.13;3.26;2;3.9;5.87;3.56;2.11;2.68;30.97
22909;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;37.17;16.69;16.69;6.96;9.64;6.99;4.65;6.98;4.98;3.34;1.37;2.37;5.3;3.22;1.87;2.35;6.89;4.66;3.19;1.55;2.49;4.86;3.31;1.91;2.38;28.51
22912;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;37.83;17.62;17.62;7.18;10.3;6.74;4.32;6.48;5.59;3.4;1.42;2.14;5.22;3.44;1.9;2.37;6.59;4.72;3.39;1.77;2.74;5.16;3.5;2.8;3.1;31.32
22908;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;42.69;19.69;19.69;8;10.82;8.38;4.77;8.4;6;4.9;1.54;1.8;5.64;4.18;1.82;2.66;7.42;5.53;3.53;1.74;3.6;5.43;4;2.11;2.74;31.34
22922;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;41.35;19.92;19.92;7.56;10.27;7.68;4.86;7.65;5.3;3.57;1.59;2.61;5.69;3.61;2.5;2.75;7.4;5.56;3.22;1.72;2.66;5.52;3.19;1.77;2.55;32.8
22921;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;40.31;17.15;17.15;7.2;10.32;8.25;5.3;7.71;5.44;4.15;1.73;2.51;5.24;3.37;2.14;2.88;7.37;5.98;3.71;1.63;2.14;5.4;3.48;2.11;2.69;29.89
22935;apuana;metamorphic;Italy;Lago Baccio. Modena;43.02;19.47;19.47;6.59;9.85;7.81;4.56;7.79;5.55;3.99;2.15;2.82;5.64;4.4;2.46;3.56;8.26;5.67;4.3;2.13;3.2;5.45;3.75;2.39;3.35;30.46
22933;apuana;metamorphic;Italy;Lago Baccio. Modena;46.77;20.15;20.15;6.62;10.25;9.24;5.17;8.94;6.24;4.83;2.68;3.31;5.84;4;2.8;3.51;8.72;5.92;4.44;2.41;3.36;5.98;4.3;2.78;3.9;37.83
22932;apuana;metamorphic;Italy;Lago Baccio. Modena;37.35;15.7;15.13;5.71;8.88;7.38;3.76;7.1;4.68;3.4;1.82;2.37;4.46;3.22;2.2;2.7;7.15;5.14;3.12;1.92;3.4;4.95;3.55;2.4;3.5;30.55
22931;apuana;metamorphic;Italy;Lago Baccio. Modena;42.26;18.37;18.37;6.15;9.84;8.21;4.32;8.51;5.67;3.95;1.99;2.69;5.6;3.93;2.64;3.61;7.33;5.88;3.73;2.28;3.24;5.15;3.46;2.36;2.9;33.32
22934;apuana;metamorphic;Italy;Lago Baccio. Modena;36.31;15.32;15.71;5.49;8.74;7.67;3.76;7.67;5.12;3.53;1.54;2.24;4.64;3.41;2.25;2.49;6.97;4.85;3.13;1.71;2.5;4.76;3.1;1.95;2.45;26.82
22924;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;46.2;20.77;20.77;6.44;10.42;8.33;4.71;8.86;6.31;4.33;2.28;2.85;5.88;4.34;2.57;3.22;8.93;6.35;4.1;2.2;3;5.44;3.88;2.46;3.33;38.16
22925;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;45.97;20.4;20.56;6.3;10.39;8.96;4.57;8.86;5.55;4.24;2.23;3.8;5.98;3.97;2.26;3.6;8.31;5.89;4.5;2.4;2.88;5.78;3.96;2.52;3.66;35.42
